ID,Village,Pop,Source,State,Locality,X,Y,Remarks
1,Kosti,,Georef,White Nile,Kosti,32.667511,13.148462,
2,Tandalti,,Calculated,White Nile,Kosti,31.863934,13.00969,
3,Qawz kobi,,GPS,White Nile,Kosti,32.35,13.6,
4,Karjuggle,,GPS,White Nile,Kosti,32.383333,13.466667,
5,Idd maktuf,,GPS,White Nile,Kosti,32.283333,13.5,
6,Maryam,,GPS,White Nile,Kosti,32.55,13.466667,
7,Qawz nyaneir,,GPS,White Nile,Kosti,32.283333,13.6,
8,Salogi,,GPS,White Nile,Kosti,32.45,13.15,
9,Sulayah,,GPS,White Nile,Kosti,32.25,13.266667,
10,Seleima,,Calculated,White Nile,Kosti,32.058333,13.008333,
11,Serahna,,GPS,White Nile,Kosti,31.983333,13.133333,
12,Shankhab,,GPS,White Nile,Kosti,32.516667,13.416667,
13,Shawir wells,,GPS,White Nile,Kosti,32.483333,13.516667,
14,Shaybat,,GPS,White Nile,Kosti,32.15,13.166667,
15,Umm agaga,,GPS,White Nile,Kosti,32.033333,13.283333,
16,Umm baatut,,GPS,White Nile,Kosti,32.416667,13.516667,
17,Umm busa,,GPS,White Nile,Kosti,32.416667,13.233333,
18,Teleibat,,GPS,White Nile,Kosti,31.916667,13.1,
19,Umm fagum,,GPS,White Nile,Kosti,32.283333,13.166667,
20,Umm gah,,GPS,White Nile,Kosti,32,13.133333,
21,Umm ghanim,,GPS,White Nile,Kosti,32.583333,13.466667,
22,Umm hagar,,GPS,White Nile,Kosti,32.433333,13.033333,
23,Umm hajlijah,,GPS,White Nile,Kosti,32.266667,13,
24,Umm hani,,GPS,White Nile,Kosti,32.716667,13.05,
25,Umm hasan,,Calculated,White Nile,Kosti,32.191667,13.291667,
26,Umm kafur,,GPS,White Nile,Kosti,32.583333,13.25,
27,Umm korak,,GPS,White Nile,Kosti,32.3,13.616667,
28,Wad shamman,,GPS,White Nile,Kosti,32.5,13.55,
29,Wasiyeh,,Calculated,White Nile,Kosti,32.516667,13.05,
30,White nile,,GPS,White Nile,Kosti,32.5,13.5,
31,Zaqalona,,GPS,White Nile,Kosti,32.116667,13.366667,
32,Umm dasis,,Calculated,White Nile,Kosti,32.239977,13.391724,
33,Meshaqqa,,Calculated,White Nile,Kosti,31.966075,13.136079,
34,El wusa,,GPS,White Nile,Kosti,32.516525,13.043699,
35,El bah,,Calculated,White Nile,Kosti,31.936299,13.017039,
36,Abu usfur,,GPS,White Nile,Kosti,32.183333,13.216667,
37,Abu araish,,GPS,White Nile,Kosti,32.4,13.45,
38,Abu humayrah,,GPS,White Nile,Kosti,32.266667,13.05,
39,Abu khudeira,,GPS,White Nile,Kosti,32.316667,13.566667,
40,Rahad awama,,GPS,White Nile,Kosti,32.1,13.15,
41,Ambireika,,GPS,White Nile,Kosti,32.083333,13.166667,
42,Dabara,,GPS,White Nile,Kosti,32.033333,13.083333,
43,Dafuri,,GPS,White Nile,Kosti,32.366667,13.166667,
44,Baqbaqat,,GPS,White Nile,Kosti,32.466667,13.5,
45,Ed debeiba,,Calculated,White Nile,Kosti,32.55,13.541667,
46,El eleiqa,,Calculated,White Nile,Kosti,32.416667,13.416667,
47,El fashashoya,,GPS,White Nile,Kosti,32.583333,13.4,
48,El ibaiyad,,GPS,White Nile,Kosti,32.366667,13.566667,
49,El milh,,GPS,White Nile,Kosti,32.45,13.583333,
50,Esh shaqq,,GPS,White Nile,Kosti,32.3,13.2,
